"Date","ISIN","Maturity","CleanPrice","AccruedInterest","DirtyPrice"
2025-01-14,"CA135087N837",2027-09-01,99.02,1.01712328767123,100.037123287671
2025-01-14,"CA135087L518",2026-03-01,96.8,0.0924657534246575,96.8924657534247
2025-01-14,"CA135087L930",2026-09-01,96.71,0.36986301369863,97.0798630136986
2025-01-14,"CA135087M847",2027-03-01,96.19,0.462328767123288,96.6523287671233
2025-01-15,"CA135087Q491",2028-09-01,100.42,1.21095890410959,101.63095890411
2025-01-15,"CA135087P576",2028-03-01,101.24,1.3041095890411,102.544109589041
2025-01-15,"CA135087R895",2029-09-01,101.27,1.3041095890411,102.574109589041
2025-01-15,"CA135087Q988",2029-03-01,103.24,1.49041095890411,104.730410958904
2025-01-15,"CA135087K528",2025-03-01,99.77,0.465753424657534,100.235753424658
2025-01-15,"CA135087K940",2025-09-01,98.4,0.186301369863014,98.586301369863
2025-01-15,"CA135087N837",2027-09-01,99.2,1.02465753424658,100.224657534247
2025-01-15,"CA135087L518",2026-03-01,96.9,0.0931506849315069,96.9931506849315
2025-01-15,"CA135087L930",2026-09-01,96.85,0.372602739726027,97.222602739726
2025-01-15,"CA135087M847",2027-03-01,96.36,0.465753424657534,96.8257534246575
2025-01-16,"CA135087Q491",2028-09-01,100.92,1.21986301369863,102.139863013699
2025-01-16,"CA135087P576",2028-03-01,101.58,1.31369863013699,102.893698630137
2025-01-16,"CA135087R895",2029-09-01,101.85,1.31369863013699,103.163698630137
2025-01-16,"CA135087Q988",2029-03-01,103.8,1.5013698630137,105.301369863014
2025-01-16,"CA135087K528",2025-03-01,99.78,0.469178082191781,100.249178082192
2025-01-16,"CA135087K940",2025-09-01,98.47,0.187671232876712,98.6576712328767
2025-01-16,"CA135087N837",2027-09-01,99.5,1.03219178082192,100.532191780822
2025-01-16,"CA135087L518",2026-03-01,97.01,0.0938356164383562,97.1038356164384
2025-01-16,"CA135087L930",2026-09-01,97.03,0.375342465753425,97.4053424657534
2025-01-16,"CA135087M847",2027-03-01,96.6,0.469178082191781,97.0691780821918
2025-01-17,"CA135087Q491",2028-09-01,101.02,1.22876712328767,102.248767123288
2025-01-17,"CA135087P576",2028-03-01,101.65,1.32328767123288,102.973287671233
2025-01-17,"CA135087R895",2029-09-01,101.97,1.32328767123288,103.293287671233
2025-01-17,"CA135087Q988",2029-03-01,103.9,1.51232876712329,105.412328767123
2025-01-17,"CA135087K528",2025-03-01,99.8,0.472602739726027,100.272602739726
2025-01-17,"CA135087K940",2025-09-01,98.5,0.189041095890411,98.6890410958904
2025-01-17,"CA135087N837",2027-09-01,99.53,1.03972602739726,100.569726027397
2025-01-17,"CA135087L518",2026-03-01,97.06,0.0945205479452055,97.1545205479452
2025-01-17,"CA135087L930",2026-09-01,97.07,0.378082191780822,97.4480821917808
2025-01-17,"CA135087M847",2027-03-01,96.64,0.472602739726027,97.112602739726
